month,total,heavy,medium,light,heavy_pct,n_shipments,source_file
2025-06-01,42712,35326,6034,1352,82.70743584941,127,impa25d.xlsx
2025-07-01,42342,32368,7953,2021,76.44419252751405,179,impa25d.xlsx
2025-08-01,45062,35078,8040,1944,77.84385957125738,168,impa25d.xlsx
2025-09-01,43438,35349,5667,2422,81.37805607993002,180,impa25d.xlsx
2025-10-01,37947,30966,5991,990,81.6032887975334,164,impa25d.xlsx
2025-11-01,39744,31303,7947,494,78.76157407407408,140,impa25d.xlsx
2025-12-01,40155,32149,7064,942,80.06225874735401,163,impa25d.xlsx
2026-01-01,45798,32878,11485,1435,71.78916109873794,127,import2601.xlsx
2026-02-01,40567,29745,10309,513,73.32314442773684,95,import2602.xlsx
2026-03-01,48507,35175,13332,0,72.51530706908281,105,import2603.xlsx
2026-04-01,40124,36498,3111,515,90.96301465457083,113,import2604.xlsx
2026-05-01,42355,40960,1395,0,96.70641010506434,122,import2605.xlsx
2026-06-01,40895,37566,2362,967,91.85964054285365,120,import2606.xlsx
