year,tight_oil_mbbl_d,padd3_heavy_import_kbbl_d,padd3_heavy_pct
2000,0.24641666666666664,1766.139344262295,34.455469293441325
2001,0.23925,2130.5068493150684,39.79586092545777
2002,0.23491666666666666,2232.5780821917806,43.27365726183958
2003,0.2344166666666667,2289.3342465753426,41.69957791757366
2004,0.25075,2516.7349726775956,43.63153644112555
2005,0.28108333333333335,2360.9397260273972,41.78694907939464
2006,0.30291666666666667,2432.912328767123,43.127106543762686
2007,0.3333333333333333,2436.1643835616437,43.62809940062881
2008,0.41883333333333334,2243.4180327868853,42.36902790627833
2009,0.49225,2307.4931506849316,45.88343737759432
2010,0.6749999999999999,2414.849315068493,45.31901777088348
2011,1.1235833333333334,2373.3315068493152,48.27998249970043
2012,1.9560000000000002,2261.467213114754,50.62453668931333
2013,2.848333333333333,2138.3397260273973,57.23149934482078
2014,3.89,2129.7479452054795,63.54650164719731
2015,4.581333333333333,2208.460273972603,69.50196843265167
2016,4.259666666666667,2199.5054644808743,65.32251520639805
2017,4.7876666666666665,2139.8027397260275,69.01150091540784
2018,6.3425,2054.945205479452,73.72844952576423
2019,7.6155,1612.786301369863,82.02817568697397
2020,7.22475,1351.568306010929,74.24750469043153
2021,7.243916666666667,1158.972602739726,74.57010144812573
2022,7.895499999999999,1242.8849315068494,75.90613235171087
2023,8.667,1324.1808219178083,77.3799498570317
2024,9.092083333333333,1281.24043715847,77.82594408356596
2025,9.354,1108.5972602739726,79.72989748005462
2026,9.385571428571428,583.0739726027397,82.41056976681149
